"","Genus","mean","median","min","max","prevalence"
"525","Catenovulum",0,0,0,0.2,8.6
"526","Corallomonas",0,0,0,0,3.4
"527","Marinobacter",0,0,0,0.3,22.4
"528","Salinimonas",0,0,0,0,6.9
"529","Ferrimonas",0,0,0,0,3.4
"530","Idiomarina",0,0,0,0,8.6
"531","Algicola",0,0,0,0.1,20.7
"532","Pseudoalteromonas",0,0,0,0.2,25.9
"533","Psychromonas",0,0,0,0,3.4
"534","Shewanella",0,0,0,1.6,43.1
"535","Perspicuibacter",0,0,0,0.1,1.7
"536","Cardiobacterium",0,0,0,0,13.8
"537","Gilvimarinus",0,0,0,0.2,8.6
"538","Halioglobus",0,0,0,0.1,1.7
"539","Marinimicrobium",0,0,0,0.1,1.7
"540","Teredinibacter",0,0,0,0,3.4
"541","Umboniibacter",0,0,0,0.1,6.9
"542","Haliea",0,0,0,0.1,1.7
"543","Luminiphilus",0,0,0,0.1,8.6
"544","Microbulbifer",0,0,0,0.1,10.3
"545","Chromatium",0,0,0,0.2,27.6
"546","Isochromatium",0,0,0,0,1.7
"547","Nitrococcus",0,0,0,0.2,1.7
"548","Nitrosococcus",0,0,0,0.1,12.1
"549","Rheinheimera",0,0,0,0,5.2
"550","Thermochromatium",0,0,0,0.1,15.5
"551","Thiohalocapsa",0,0,0,0.4,41.4
"552","Thiophaeococcus",0,0,0,0.1,13.8
"553","Thiorhodococcus",0,0,0,0,6.9
"554","Arhodomonas",0,0,0,0.1,8.6
"555","Ectothiorhodospira",0,0,0,1.2,22.4
"556","Halorhodospira",0,0,0,0,5.2
"557","Spiribacter",0,0,0,0.4,6.9
"558","Thioalkalivibrio",0,0,0,0,5.2
"559","Thiohalomonas",0,0,0,0,5.2
"560","Thiofaba",0,0,0,0,3.4
"561","Thioalkalispira",0,0,0,0,12.1
"562","Woeseia",0,0,0,0,1.7
"563","Leminorella",0,0,0,0,3.4
"564","Pragia",0,0,0,0.2,5.2
"565","Biostraticola",0,0,0,0.1,10.3
"566","Buttiauxella",0,0,0,0.3,22.4
"567","Cedecea",0,0,0,0.4,17.2
"568","Clavibacter",0,0,0,0.1,6.9
"569","Endobacter",0,0,0,0.4,34.5
"570","Escherichia",0,0,0,2.1,20.7
"571","Escherichia/Shigella",0,0,0,0.7,34.5
"572","Kluyvera",0,0,0,0.9,6.9
"573","Knoellia",0,0,0,0,1.7
"574","Kosakonia",0,0,0,0.1,20.7
"575","Pluralibacter",0,0,0,0.1,6.9
"576","Shimwellia",0,0,0,0.4,12.1
